,"Tipo (Grande, Mediano, Pequeño, Helipuerto)",Nombre,"Elevacion (bajo, medio, altos)",Provincia,Ciudad,Codigo local
0,Grande,Minister Pistarini,Bajo,Buenos Aires,Buenos Aires (Ezeiza),Eze
1,Grande,Jorge Newbery,Bajo,Buenos Aires (Autonomous City),Buenos Aires,Aer
2,Mediano,Malvinas Argentinas,Bajo,Tierra Del Fuego,Ushuaia,Usu
3,Mediano,El Calafate - Commander Armando Tola,Medio,Santa Cruz,El Calafate,Eca
4,Mediano,Cataratas Del Iguazu,Altos,Misiones,Puerto Iguazu,Igu
5,Mediano,El Plumerillo,Altos,Mendoza,Mendoza,Doz
6,Mediano,San Carlos De Bariloche,Altos,Rio Negro,San Carlos De Bariloche,Bar
7,Mediano,Martin Miguel De Guemes,Altos,Salta,Salta,Sal
8,Mediano,Ingeniero Ambrosio Taravella,Altos,Cordoba,Cordoba,Cba
10,Mediano,San Fernando,Bajo,Buenos Aires,San Fernando,Fdo
11,Mediano,Piloto Civil N. Fernandez,Bajo,Santa Cruz,Rio Gallegos,Gal
12,Mediano,Rosario Islas Malvinas,Bajo,Santa Fe,Rosario,Ros
13,Mediano,General E. Mosconi,Medio,Chubut,Comodoro Rivadavia,Crv
14,Mediano,Almirante Marco Andres Zar,Medio,Chubut,Rawson,Tre
15,Mediano,Capitan D Daniel Vazquez,Medio,Santa Cruz,San Julian,Sju
16,Mediano,Presidente Peron,Medio,Neuquen,Neuquen,Neu
17,Mediano,Sauce Viejo,Bajo,Santa Fe,Santa Fe,Svo
18,Mediano,Gobernador Ramon Trejo Noel,Bajo,Tierra Del Fuego,Rio Grande,Gra
19,Mediano,Comandante Espora,Medio,Buenos Aires,Bahia Blanca,Bca
20,Mediano,Astor Piazzola,Bajo,Buenos Aires,Mar Del Plata,Mdp
21,Mediano,Libertador Gral D Jose De San Martin,Medio,Misiones,Posadas,Pos
22,Mediano,Santa Rosa,Medio,La Pampa,Santa Rosa,Osa
23,Mediano,El Palomar,Bajo,Buenos Aires,El Palomar,Pal
24,Pequeño,Pergamino,Medio,Buenos Aires,Pergamino,Per
25,Mediano,El Tehuelche,Medio,Chubut,Puerto Madryn,Dry
26,Pequeño,Moron,Bajo,Buenos Aires,Moron,Mor
28,Pequeño,Zarate,Bajo,Buenos Aires,Zarate,Ate
29,Mediano,Coronel Felipe Varela,Altos,Catamarca,Catamarca,Cat
30,Mediano,Aviador C. Campos,Altos,Neuquen,Chapelco/San Martin De Los Andes,Chp
31,Mediano,Brigadier Antonio Parodi,Altos,Chubut,Esquel,Esq
32,Mediano,Puerto Deseado,Medio,Santa Cruz,Puerto Deseado,Ado
33,Mediano,Santa Cruz,Medio,Santa Cruz,Puerto Santa Cruz,Scz
34,Mediano,Resistencia,Medio,Chaco,Resistencia,Sis
35,Mediano,Teniente Benjamin Matienzo,Altos,Tucuman,San Miguel De Tucuman,Tuc
36,Mediano,Gobernador Horacio Guzman,Altos,Jujuy,San Salvador De Jujuy,Juj
37,Mediano,Santa Teresita,Bajo,Buenos Aires,Santa Teresita,Str
38,Mediano,Gobernador Castello,Bajo,Rio Negro,Viedma / Carmen De Patagones,Vie
39,Mediano,Comodoro Pierrestegui,Bajo,Entre Rios,Concordia,Dia
40,Pequeño,Ezpeleta,Bajo,Buenos Aires,Ezpeleta,Ezp
41,Pequeño,Ushuaia Aeroclub,Bajo,Tierra Del Fuego,Ushuaia,Eau
42,Mediano,Capitan V A Almonacid,Altos,La Rioja,La Rioja,Lar
43,Mediano,General Urquiza,Medio,Entre Rios,Parana,Par
44,Mediano,Perito Moreno,Altos,Santa Cruz,Perito Moreno,Ptm
45,Mediano,Domingo Faustino Sarmiento,Altos,San Juan,San Juan,Jua
46,Mediano,Vicecomodoro Angel D. La Paz Aragones,Medio,Santiago Del Estero,Santiago Del Estero,Sde
47,Mediano,General Enrique Mosconi,Altos,Salta,Tartagal,Tar
48,Mediano,Villa Reynolds,Altos,San Luis,Villa Mercedes,Ryd
49,Mediano,Heroes De Malvinas,Medio,Buenos Aires,Tandil,Dil
50,Mediano,Cutral-Co,Altos,Neuquen,Cutral-Co,Cut
51,Mediano,Villa Gesell,Bajo,Buenos Aires,Villa Gesell,Ges
52,Pequeño,Gobernador Gregores,Medio,Santa Cruz,Gobernador Gregores,Gre
53,Pequeño,San Andres De Giles,Medio,Buenos Aires,San Andres De Giles,Gil
54,Pequeño,Escobar,Bajo,Buenos Aires,Belen De Escobar,Len
55,Pequeño,Bell Ville,Medio,Cordoba,Bell Ville,Bel
56,Pequeño,Veinticinco De Mayo,Altos,La Pampa,Colonia Veinticinco De Mayo,Mao
57,Pequeño,Comandante Luis Piedrabuena,Bajo,Santa Cruz,Comandante Luis Piedrabuena,Lpb
58,Pequeño,Escuela De Aviacion Militar (Military Aviation School),Altos,Cordoba,Cordoba,Esc
59,Pequeño,Coronel Olmedo,Altos,Cordoba,Cordoba,Edo
62,Pequeño,Mariano Moreno,Bajo,Buenos Aires,General Sarmiento,Eno
63,Pequeño,Isla Martin Garcia,Bajo,Buenos Aires,Isla Martin Garcia,Mgi
64,Pequeño,Matanza,Bajo,Buenos Aires,La Matanza,Mat
65,Pequeño,Lobos,Bajo,Buenos Aires,Lobos,Bos
66,Pequeño,Lujan,Bajo,Buenos Aires,Lujan,Ljn
67,Pequeño,Mercedes,Medio,Buenos Aires,Mercedes,Mrd
68,Pequeño,Pigüe,Altos,Buenos Aires,Pigüe,Pig
69,Pequeño,Quilmes,Bajo,Buenos Aires,Quilmes,Ilm
70,Pequeño,Salto,Medio,Buenos Aires,Salto,Slt
71,Pequeño,Trelew Aeroclub,Bajo,Chubut,Trelew,Trw
72,Mediano,Corrientes,Medio,Corrientes,Corrientes,Crr
73,Mediano,Aeropuerto Nacional De,Medio,Formosa,Formosa,Fsa
74,Mediano,Brigadier Mayor D Cesar Raul Ojeda,Altos,San Luis,San Luis,Uis
75,Mediano,Suboficial Ay Santiago Germano,Altos,Mendoza,San Rafael,Sra
76,Mediano,Las Heras,Altos,Santa Cruz,Las Heras,Clh
77,Mediano,Termas De Rio Hondo International,Altos,Santiago Del Estero,Termas De Rio Hondo,Trh
79,Mediano,Area De Material,Altos,Cordoba,Rio Cuarto,Trc
80,Mediano,Goya,Bajo,Corrientes,Goya,Goy
81,Mediano,Gualeguaychu,Bajo,Entre Rios,Gualeguaychu,Gua
83,Mediano,La Plata,Bajo,Buenos Aires,La Plata,Pta
84,Mediano,Paso De Los Libres,Medio,Corrientes,Paso De Los Libres,Lib
85,Mediano,Comodoro Pedro Zanni,Medio,Buenos Aires,Pehuajo,Peh
86,Mediano,Reconquista,Medio,Santa Fe,Reconquista,Rta
87,Pequeño,Antoine De Saint Exupery,Bajo,Rio Negro,San Antonio Oeste,San
88,Pequeño,28 De Noviembre,Altos,Santa Cruz,Rio Turbio,Bio
89,Pequeño,Alta Gracia,Altos,Cordoba,Alta Gracia,Agr
90,Pequeño,Arrecifes Aeroclub,Medio,Buenos Aires,Arrecifes,Cif
91,Pequeño,Azul,Medio,Buenos Aires,Azul,Zul
92,Pequeño,Baradero,Bajo,Buenos Aires,Baradero,Bdo
94,Pequeño,Bolivar,Medio,Buenos Aires,Bolivar,Blr
95,Pequeño,Bragado,Medio,Buenos Aires,Bragado,Bra
96,Pequeño,Brandsen,Bajo,Buenos Aires,Brandsen,Sen
97,Pequeño,Campo De Mayo Military,Bajo,Buenos Aires,Campo De Mayo,Cpo
98,Pequeño,Cañuelas,Bajo,Buenos Aires,Cañuelas,Cna
99,Pequeño,Aeroclub Capitan,Medio,Buenos Aires,Capitan Sarmiento,Cts
100,Pequeño,Carmen De Areco,Medio,Buenos Aires,Carmen De Areco,Cno
101,Pequeño,Chacabuco,Medio,Buenos Aires,Chacabuco,Uco
102,Pequeño,Chascomus,Bajo,Buenos Aires,Chascomus,Mus
103,Pequeño,Chivilcoy,Medio,Buenos Aires,Chivilcoy,Chy
104,Pequeño,Jose De San Martin,Altos,Chubut,Chubut,Jsm
105,Pequeño,Colon,Medio,Buenos Aires,Colon,Con
107,Pequeño,Daireaux,Medio,Buenos Aires,Daireaux,Drx
108,Pequeño,Dean Funes,Altos,Cordoba,Dean Funes,Fun
109,Pequeño,Dolores,Bajo,Buenos Aires,Dolores,Dol
110,Pequeño,El Maiten,Altos,Chubut,El Maiten,Ema
112,Pequeño,El Pajaro,Bajo,Buenos Aires,Florencio Varela,Fva
113,Pequeño,General Belgrano,Bajo,Buenos Aires,General Belgrano,Gbe
114,Pequeño,General Las Heras,Bajo,Buenos Aires,General Las Heras,Glh
115,Pequeño,General Rodriguez Ildefonso Durana,Bajo,Buenos Aires,General Rodriguez,Gez
116,Pequeño,Los Toldos,Medio,Buenos Aires,General Viamonte,Gnv
117,Pequeño,Gonzalez Chaves,Medio,Buenos Aires,Gonzalez Chaves,Gvz
118,Pequeño,Gualeguay,Bajo,Entre Rios,Gualeguay,Uay
119,Pequeño,Tres Lomas,Medio,Buenos Aires,Jose Maria Blanco,Jmb
120,Pequeño,Tolosa,Bajo,Buenos Aires,La Plata,Ptl
121,Pequeño,La Puntilla,Altos,Mendoza,La Puntilla,Dop
122,Pequeño,Las Flores,Bajo,Buenos Aires,Las Flores,Flo
123,Pequeño,Lincoln,Medio,Buenos Aires,Lincoln,Lin
124,Pequeño,La Caida,Bajo,Buenos Aires,Longchamps,Llc
125,Pequeño,Batan,Medio,Buenos Aires,Mar Del Plata,Mdb
126,Pequeño,Marcos Paz,Bajo,Buenos Aires,Marcos Paz,Msp
127,Pequeño,Fumigaciones Ortega,Medio,Buenos Aires,Martinez De Hoz,Dof
128,Pequeño,Valle Del Conlara,Altos,San Luis,Merlo,Src
129,Pequeño,Navarro,Bajo,Buenos Aires,Navarro,Nvr
130,Pequeño,Olavarria,Medio,Buenos Aires,Olavarria,Ola
131,Pequeño,La Noria Agricultural,Medio,Buenos Aires,Pergamino,Pen
132,Pequeño,Pinamar,Bajo,Buenos Aires,Pinamar,Pnr
133,Pequeño,Rio Colorado,Medio,Rio Negro,Rio Colorado,Col
134,Pequeño,Rio Cuarto Aeroclub,Altos,Cordoba,Rio Cuarto,Cua
135,Pequeño,Rio Mayo,Altos,Chubut,Rio Mayo,Rmy
136,Pequeño,America,Medio,Buenos Aires,Rivadavia,Rva
137,Pequeño,Alvear,Bajo,Santa Fe,Rosario,Sa43
138,Pequeño,Saladillo,Medio,Buenos Aires,Saladillo,Sdl
139,Pequeño,Santa Victoria,Altos,Salta,Salta,Vit
140,Pequeño,San Antonio De Areco,Bajo,Buenos Aires,San Antonio De Areco,Snt
142,Pequeño,San Miguel Del Monte,Bajo,Buenos Aires,San Miguel Del Monte,Smm
143,Pequeño,San Nicolas De Los Arroyos,Bajo,Buenos Aires,San Nicolas,Sny
144,Pequeño,San Pedro,Bajo,Buenos Aires,San Pedro,Ped
145,Pequeño,El Pampero,Medio,La Pampa,Santa Rosa,Elp
146,Pequeño,Tolhuin Lago Fagnano,Bajo,Tierra Del Fuego,Tolhuin,Tol
147,Pequeño,Lago Fagnano North,Medio,Tierra Del Fuego,Toluhin,Thn
148,Pequeño,La Siesta,Medio,Santa Fe,Venado Tuerto,Vto
149,Pequeño,Savesa,Medio,Santa Fe,Venado Tuerto,Vts
150,Pequeño,Venado Tuerto,Medio,Santa Fe,Venado Tuerto,Vno
151,Pequeño,Punta Indio Naval Air,Bajo,Buenos Aires,Veronica,Pdi
152,Pequeño,Villa General Belgrano,Altos,Cordoba,Villa General Belgrano,Vgb
153,Pequeño,Villa Mercedes,Altos,San Luis,Villa Mercedes,Ced
154,Helipuerto,Dines (Doctor E. Escudero),Bajo,Buenos Aires (Autonomous City),Buenos Aires,Hdi
155,Helipuerto,Puerto Esperanza,Medio,Misiones,Esperanza,Hpo
156,Mediano,Necochea,Bajo,Buenos Aires,Necochea,Nec
157,Mediano,Presidente Nestor Kirchner Regional,Medio,Cordoba,Villa Maria,Vmr
158,Mediano,Curuzu Cuatia,Medio,Corrientes,Curuzu Cuatia,Cca
159,Mediano,El Bolson,Altos,Rio Negro,El Bolson,Bol
160,Mediano,General Pico,Medio,La Pampa,General Pico,Gpi
161,Mediano,Comodoro D.R. Salomon,Altos,Mendoza,Malargue,Mlg
162,Mediano,Monte Caseros,Medio,Corrientes,Monte Caseros,Mcs
163,Mediano,Oran,Altos,Salta,Oran,Ora
164,Mediano,Rincon De Los Sauces,Altos,Neuquen,Rincon De Los Sauces,Rin
165,Mediano,Tres Arroyos,Medio,Buenos Aires,Tres Arroyos,Yos
166,Mediano,Villa Dolores,Altos,Cordoba,Villa Dolores,Ldr
167,Mediano,Zapala,Altos,Neuquen,Zapala,Zap
168,Pequeño,Merlo,Medio,San Luis,Merlo,Rlo
169,Pequeño,Aerodromo Estancia Don,Medio,Chaco,Presidencia Roca,Pdp
182,Pequeño,Finca La Frontera,Medio,Salta,"Aguaray, San Martin",Smf
183,Pequeño,Estancia El,Bajo,Entre Rios,Aldea San Antonio,496
184,Pequeño,Alejandro Roca,Medio,Cordoba,Alejandro Roca,Alr
185,Pequeño,Allen,Altos,Rio Negro,Allen,All
186,Pequeño,El Toto,Medio,Cordoba,Alta Gracia,Tot
187,Pequeño,D. Casimiro Szlapelis,Altos,Chubut,Alto Rio Senguerr,Ars
189,Pequeño,Alumine,Altos,Neuquen,Alumine,Alu
190,Pequeño,Agroalvear S.R.L.,Bajo,Santa Fe,Alvear,Alv
191,Pequeño,Ameghino,Medio,Buenos Aires,Ameghino,Amg
192,Pequeño,La Chacra,Medio,Buenos Aires,Ameghino,Alc
193,Pequeño,Sigfrido Rohr Aviagro S.R.L.,Medio,Buenos Aires,Ameghino,Ame
194,Pequeño,Augusto Leguizamon,Medio,Buenos Aires,Ameghino,Aul
195,Pequeño,Añatuya,Medio,Santiago Del Estero,Añatuya,Uya
197,Pequeño,Andalgala,Altos,Catamarca,Andalgala,And
198,Pequeño,Anillaco,Altos,La Rioja,Anillaco,Ani
199,Pequeño,Apostoles,Medio,Misiones,Apostoles,Apo
200,Pequeño,Arias,Medio,Cordoba,Arias,Coa
202,Pequeño,La Cura Malal,Bajo,Buenos Aires,Arrecifes,Acm
203,Pequeño,Arribeños,Medio,Buenos Aires,Arribeños,Arb
204,Pequeño,Arroyito/Arcor,Medio,Cordoba,Arroyito/Arcor,Ary
207,Pequeño,Ascochinga,Medio,Cordoba,Ascochinga,Nga
208,Pequeño,Presidente Avellaneda,Medio,Santa Fe,Avellaneda,Avl
209,Pequeño,Ayacucho,Medio,Buenos Aires,Ayacucho,Aya
210,Pequeño,Bahia Blanca Aeroclub,Bajo,Buenos Aires,Bahia Blanca,Bhb
211,Pequeño,Algarrobo/La Reforma,Medio,Buenos Aires,Bahia Blanca,Brf
214,Pequeño,Balcarce Aeroclub,Medio,Buenos Aires,Balcarce,Bal
215,Pequeño,Estancia Los Cardos,Medio,Buenos Aires,Balcarce,Blc
216,Pequeño,Estancia La,Medio,Buenos Aires,Balcarce,Bla
217,Pequeño,Finca Cuchuy,Altos,Salta,Ballivian,Fcu
218,Pequeño,Agroservicio Doña Teresa,Medio,Santiago Del Estero,Bandera,Adt
219,Pequeño,Dutto,Medio,Santiago Del Estero,Bandera,Adu
221,Pequeño,Basavilbaso,Medio,Entre Rios,Basavilbaso,Bas
222,Pequeño,La Zulema,Medio,Cordoba,Bell Ville,Zlm
223,Pequeño,Bella Vista,Medio,Corrientes,Bella Vista,Bta
224,Pequeño,Benito Juarez,Medio,Buenos Aires,Benito Juarez,Jrz
225,Pequeño,Bernardo De Irigoyen,Altos,Misiones,Bernardo De Irigoyen,Iri
226,Pequeño,Dinaluca S.A.,Medio,Corrientes,Beron De Astrada,Bad
228,Pequeño,Gran Ancona,Medio,Santa Fe,Bombal,Bom
229,Pequeño,Malfatto,Medio,Buenos Aires,Bragado,Bmo
232,Pequeño,Pablo Sierra Aeroaplicaciones,Medio,Cordoba,Brinkman,Bps
233,Pequeño,El Porton,Altos,Neuquen,Buta Ranquil,Brq
234,Pequeño,Cabildo,Medio,Buenos Aires,Cabildo,Cbd
235,Pequeño,Cachi,Altos,Salta,Cachi,Ccs
236,Pequeño,Cafayate,Altos,Salta,Cafayate,Caf
237,Pequeño,Calchaqui,Medio,Santa Fe,Calchaqui,Cci
238,Pequeño,Aerocampo Csa,Medio,Cordoba,Calchin,Csa
239,Pequeño,Caleta Olivia,Bajo,Santa Cruz,Caleta Olivia,Cao
241,Pequeño,Calilegua,Altos,Jujuy,Calilegua,Cli
243,Pequeño,Campo Arenal,Altos,Catamarca,Campo Arenal,Cal
244,Pequeño,Cañada De Gomez,Medio,Santa Fe,Cañada De Gomez,Gom
245,Pequeño,Blondi,Medio,Cordoba,Cañada De Luque,Cdl
246,Pequeño,Stiefel,Medio,Santa Fe,Cañada Rosquin,Rst
247,Pequeño,B&B Servicios Agropecuarios,Medio,Santa Fe,Cañada Rosquin,Cbb
248,Pequeño,Cañada Rosquin,Medio,Santa Fe,Cañada Rosquin,Sqi
249,Pequeño,Cañadon Seco,Medio,Santa Cruz,Cañadon Seco,Cds
250,Pequeño,Canals,Medio,Cordoba,Canals,Cns
251,Pequeño,Quebracho Herrado,Medio,Buenos Aires,Capitan Sarmiento,Csq
252,Pequeño,San Patricio,Medio,Buenos Aires,Capitan Sarmiento,Csp
253,Pequeño,Estancia La Elisa,Medio,Buenos Aires,Capitan Sarmiento,578
254,Pequeño,Di Giuseppe,Medio,Santa Fe,Carcaraña,Cdi
255,Pequeño,Carhue,Medio,Buenos Aires,Carhue,Hue
256,Pequeño,Fumagro,Medio,Buenos Aires,Carhue,Cfu
257,Pequeño,Haydee,Medio,Buenos Aires,Carlos Caceres,Cch
258,Pequeño,Carlos Casares,Medio,Buenos Aires,Carlos Casares,Csr
259,Pequeño,Malatini,Medio,Buenos Aires,Carlos Casares,Ccm
260,Pequeño,Ottaviani,Medio,Buenos Aires,Carlos Casares,Cco
261,Pequeño,Las Ensenadas,Altos,Cordoba,Carlos Paz,Cpz
262,Pequeño,Carlos Tejedor,Medio,Buenos Aires,Carlos Tejedor,Tej
263,Pequeño,Carmen De Patagones,Bajo,Buenos Aires,Carmen De Patagones,Pat
264,Pequeño,Los Rulos,Medio,Santiago Del Estero,Casares,Ccr
265,Pequeño,Casilda,Medio,Santa Fe,Casilda,Ild
267,Pequeño,Establecimiento La Maria Pilar,Medio,La Pampa,Catrilo,Ctp
269,Pequeño,Ceres,Medio,Santa Fe,Ceres,Ere
270,Pequeño,Cerro Catedral,Altos,Rio Negro,Cerro Catedral,Cdm
271,Pequeño,Las 2 A,Medio,Buenos Aires,Chacabuco,Aii
272,Pequeño,Chacharramendi,Altos,La Pampa,Chacharramendi,Chr
274,Pequeño,Chajari,Medio,Entre Rios,Chajari,Chj
275,Pequeño,Estancia La Choza,Medio,Entre Rios,Chajari,Chc
276,Pequeño,Chajari Sur,Medio,Entre Rios,Chajari,Csu
277,Pequeño,Chañar Ladeado,Medio,Santa Fe,Chañar Ladeado,Cld
278,Pequeño,Charata,Medio,Chaco,Charata,Cha
279,Pequeño,El Gringo,Medio,Chaco,Charata,Cht
281,Pequeño,Chilecito,Altos,La Rioja,Chilecito,Ito
282,Pequeño,Choele Choel,Medio,Rio Negro,Choele Choel,Oel
283,Pequeño,Cholila,Altos,Chubut,Cholila,Cho
284,Pequeño,Chos Malal,Altos,Neuquen,Chos Malal,Chm
285,Pequeño,Estancia Tecka,Altos,Chubut,Chubut,Tec
287,Pequeño,Cipoletti Aeroclub,Medio,Rio Negro,Cipoletti,Cip
288,Pequeño,Lanzillota,Altos,Mendoza,Ciudad De Lavalle,Llz
289,Pequeño,Aerodromo De,Medio,Formosa,Clorinda,Clo
290,Pequeño,Colon,Bajo,Entre Rios,Colon,Cln
291,Pequeño,Colonia Tirolesa,Altos,Cordoba,Colonia Tirolesa,Tir
294,Pequeño,13 De Diciembre,Medio,Chubut,Comodoro Rivadavia,Ico
295,Pequeño,Concepcion,Altos,Tucuman,Concepcion,Ccp
296,Pequeño,Concepcion Del Uruguay,Bajo,Entre Rios,Concepcion Del Uruguay,Cdu
297,Pequeño,Concordia Aeroclub,Bajo,Entre Rios,Concordia,Crd
299,Pequeño,Copetonas,Medio,Buenos Aires,Copetonas,Cta
300,Pequeño,Captain D Omar Dario Gelardi,Altos,Cordoba,Cordoba,Fma
301,Pequeño,La Mezquita,Altos,Cordoba,Cordoba/La Mezquita,Mez
302,Pequeño,Aerofumigaciones Don Alejandro,Medio,Santa Fe,Coronel Bogado,Ogb
303,Pequeño,Fumigaciones Campagnucci,Medio,Santa Fe,Coronel Bogado,Bog
304,Pequeño,Agroservicios,Medio,Santa Fe,Coronel Bogado,Acb
305,Balloonport,El Manantial,Bajo,Buenos Aires,Coronel Brandsen,Eml
306,Pequeño,Coronel Dorrego,Medio,Buenos Aires,Coronel Dorrego,Dor
307,Pequeño,Coronel Moldes,Altos,Cordoba,Coronel Moldes,Mld
308,Pequeño,Coronel Pringles,Medio,Buenos Aires,Coronel Pringles,Pri
309,Pequeño,Brigadier D.H.E. Ruiz,Medio,Buenos Aires,Coronel Suarez,Suz
310,Pequeño,Coronel Vidal,Bajo,Buenos Aires,Coronel Vidal,Vdl
315,Pequeño,Corral De Bustos,Medio,Cordoba,Corral De Bustos,Bts
316,Pequeño,Alfomso Mengo,Altos,Cordoba,Corralito,Cam
317,Pequeño,Lomas Del Espinillo,Altos,Cordoba,Corralito,Cle
318,Pequeño,Don Moises,Altos,Cordoba,Corralito,Moi
319,Pequeño,Alvear,Medio,Corrientes,Corrientes,Avr
320,Pequeño,Ita Ibate,Medio,Corrientes,Corrientes,Cii
321,Pequeño,Cañada Quiroz,Medio,Corrientes,Corrientes,Cqz
322,Pequeño,Santa Maria,Altos,Cordoba,Cosquin,Cqn
324,Pequeño,Cristo Redentor,Altos,Mendoza,Cristo Redentor,Cri
325,Pequeño,Cruz Alta,Medio,Cordoba,Cruz Alta,Alt
327,Pequeño,Curuzu Cuatia Aeroclub,Medio,Corrientes,Curuzu Cuatia,Czu
328,Pequeño,Estancia San Juan,Medio,Corrientes,Curuzu Cuatia,Hsj
329,Pequeño,Fumigaciones Rodriguez,Medio,Buenos Aires,Daireaux,Dfr
330,Pequeño,Darregueira,Medio,Buenos Aires,Darregueira,Dar
341,Pequeño,Diamante,Medio,Entre Rios,Diamante,Dte
343,Pequeño,Eduardo Castex,Medio,La Pampa,Eduardo Castex,Ecx
345,Pequeño,Aeroclub De El Chalten Alf. G.N.A. Walter Omar D,Altos,Santa Cruz,El Chalten,Elx
348,Pequeño,Estancia Caridad,Altos,Chubut,El Corcovado,Vec
350,Pequeño,El Dorado,Medio,Misiones,El Dorado,Eld
351,Pequeño,Aerodromo De La Estancia San,Medio,Formosa,El Espinillo,Esr
354,Pequeño,Chevron Texaco,Altos,Neuquen,El Trapial,Txo
355,Pequeño,El Trebol,Medio,Santa Fe,El Trebol,Etb
356,Pequeño,Burdisso,Medio,Santa Fe,El Trebol,Tbl
357,Pequeño,Bernardo'S,Medio,Santa Fe,El Trebol,Tdb
358,Pequeño,Estancia Santa Ana,Medio,Santa Cruz,El Turbio,Hts
359,Pequeño,Salvita,Altos,Salta,Embarcacion,Slv
362,Pequeño,Anibal Brizi,Bajo,Santa Fe,Esperanza,Ebf
363,Pequeño,Esperanza,Bajo,Santa Fe,Esperanza,Epz
364,Pequeño,Lago La Esperanza,Altos,Chubut,Esquel,Lza
365,Pequeño,Esquina,Bajo,Corrientes,Esquina,Esn
367,Pequeño,Aerodromo San,Medio,Formosa,Estancia Alegria,380
370,Pequeño,Ita Caabo,Medio,Corrientes,Estancia Ita Caabo,529
378,Pequeño,San Vicente,Altos,Misiones,Fabiano,Vte
379,Pequeño,La Angelita,Medio,Entre Rios,Federal,Fag
380,Pequeño,Fiambala,Altos,Catamarca,Fiambala,2380
381,Pequeño,Firmat Aeroclub,Medio,Santa Fe,Firmat,Fae
382,Pequeño,Firmat,Medio,Santa Fe,Firmat,Fim
386,Pequeño,Aerodromo Sede Del Aeroclub,Medio,Formosa,Formosa,For
388,Pequeño,El,Medio,Salta,Fortin Dragones,Fdd
389,Pequeño,Frias,Altos,Santiago Del Estero,Frias,Frs
390,Pequeño,Alagro Fumigaciones,Bajo,Santa Fe,Funes,Une
391,Pequeño,Galvez,Medio,Santa Fe,Galvez,Vez
392,Pequeño,Cabaña Los Gatos,Medio,Santiago Del Estero,Gancedo,2802
393,Pequeño,Agroaire,Medio,Chaco,Gancedo,Gai
394,Pequeño,Pulverizaciones M.H.,Medio,Chaco,Gancedo,Gdo
397,Pequeño,Las Marias,Medio,Corrientes,Gdor. Valentin Virasoro,Vso
398,Pequeño,General Acha,Altos,La Pampa,General Acha,Ach
400,Pequeño,General Alvear,Altos,Mendoza,General Alvear,Gna
401,Pequeño,General Alvear Aeroclub,Altos,Mendoza,General Alvear,Gva
402,Pequeño,General Belgrano,Altos,Salta,General Belgrano - Salta,Gbl
403,Pequeño,General Deheza,Medio,Cordoba,General Deheza,Gdh
404,Pequeño,General La Madrid,Medio,Buenos Aires,General La Madrid,Lam
405,Pequeño,General Levalle,Medio,Cordoba,General Levalle,Lev
406,Pequeño,General Madariaga,Bajo,Buenos Aires,General Madariaga,Mad
407,Pequeño,Finca La Hercilia,Altos,Salta,General Mosconi,Flh
408,Pequeño,Caa Cati,Medio,Corrientes,General Paz,Cac
409,Pequeño,Cereales Anahi Ruca,Medio,La Pampa,General Pico,Gpf
410,Pequeño,Ñancu,Medio,La Pampa,General Pico,Gpu
411,Pequeño,Estancia Trebolares,Medio,La Pampa,General Pico,938
412,Pequeño,General Pìnedo,Medio,Chaco,General Pìnedo,Gpo
413,Pequeño,Kalbermatter,Medio,Chaco,General Pinedo,Gpk
414,Pequeño,Alfredo Sanchez,Medio,Buenos Aires,General Pinto,Sez
415,Pequeño,General Pinto,Medio,Buenos Aires,General Pinto,Pnt
416,Pequeño,Dr. Arturo H. Illia,Medio,Rio Negro,General Roca,Gnr
417,Pequeño,General San Martin (La Pampa),Medio,La Pampa,General San Martin,Smt
418,Pequeño,General Villegas,Medio,Buenos Aires,General Villegas,Gas
419,Pequeño,El Girasol,Bajo,Buenos Aires,Gobernador Castro,Goc
420,Pequeño,Gobernador Crespo Aeroclub,Medio,Santa Fe,Gobernador Crespo,Gcr
421,Pequeño,Agro Servicio Yoris,Altos,Tucuman,Gobernador Garmendia,Gyt
423,Pequeño,Estancia Villa Corina,Medio,Corrientes,Gobernador Valentin Virasoro,Evc
424,Pequeño,Gomez,Bajo,Buenos Aires,Gomez,Goz
425,Pequeño,Goya,Bajo,Corrientes,Goya,Gya
426,Pequeño,Italaviation,Medio,Corrientes,Goya,Git
427,Pequeño,Agro Aereo Gualeguay,Bajo,Entre Rios,Gualeguay,Gaa
428,Pequeño,Gualeguay Aeroclub,Bajo,Entre Rios,Gualeguay,Uae
430,Pequeño,Estancia La Providencia,Bajo,Entre Rios,Gualeguaychu,Glp
431,Pequeño,Estancia El Potrero,Bajo,Entre Rios,Gualeguaychu,Gep
434,Pequeño,Estancia Santa Elisa,Medio,Misiones,Guaviravi,Gse
439,Pequeño,Henderson,Medio,Buenos Aires,Henderson,Hds
440,Pequeño,Hernando,Altos,Cordoba,Hernando,Nan
441,Pequeño,Huanguelen,Medio,Buenos Aires,Huanguelen,Hug
442,Pequeño,Plus Agroservicios Aereos S.R.L.,Medio,Santa Fe,Hughes,Hgs
443,Pequeño,Huinca Renanco,Medio,Cordoba,Huinca Renanco,Hui
444,Pequeño,Establecimiento La Adelita,Medio,Santa Fe,Humboldt,Hum
445,Pequeño,Fumigaciones Fredy,Medio,Buenos Aires,Hunter,Prc
446,Pequeño,Belingueres Aviacion,Medio,Buenos Aires,Ines Indart,Iba
