,Provincia,Partido,Localidad,Poblacion,ADSL,Cable-Modem,Dialup,Fibra Optica,Satelital,Wireless,Telefonia Fija,3G,4G
106,Buenos Aires,Adolfo Alsina,La Pala,27,No,No,No,No,No,No,No,No,No
107,Buenos Aires,Adolfo Alsina,Maza,1748,No,No,No,Si,Si,Si,Si,Si,Si
108,Buenos Aires,Florencio Varela,El Tropezon,0,No,No,No,No,No,No,No,Si,Si
109,Buenos Aires,Florencio Varela,Estanislao Severo Zeballos,26005,Si,Si,Si,Si,No,No,Si,Si,Si
110,Buenos Aires,Florencio Varela,Florencio Varela,149676,Si,Si,Si,Si,Si,Si,Si,Si,Si
111,Buenos Aires,Florencio Varela,Gobernador Julio A. Costa,61135,Si,Si,Si,Si,No,No,Si,Si,Si
112,Buenos Aires,Florencio Varela,Ingeniero Juan Allan,32994,Si,Si,No,No,No,No,Si,Si,Si
113,Buenos Aires,Florencio Varela,La Capilla,0,Si,No,No,Si,No,No,Si,Si,Si
114,Buenos Aires,Florencio Varela,Villa Brown,7484,No,Si,No,Si,No,No,No,Si,Si
115,Buenos Aires,Florencio Varela,Villa San Luis,12693,No,Si,No,No,No,No,No,Si,Si
116,Buenos Aires,Florencio Varela,Villa Santa Rosa,27308,Si,Si,Si,No,No,No,Si,Si,Si
117,Jujuy,Susques,Mina Providencia,30,No,No,No,Si,No,No,No,No,No
118,Jujuy,Susques,Olacapato,45,No,No,No,Si,No,Si,No,No,No
119,Buenos Aires,General Pueyrredon,Batan,10152,Si,No,No,Si,Si,Si,Si,Si,Si
120,Buenos Aires,General Pueyrredon,Camet,0,Si,No,No,Si,No,Si,Si,Si,Si
121,Buenos Aires,General Pueyrredon,Chapadmalal,4112,Si,No,Si,No,Si,Si,Si,Si,Si
122,Buenos Aires,General Pueyrredon,El Marquesado,196,No,No,No,No,No,Si,Si,No,No
123,Buenos Aires,General Pueyrredon,Estacion Camet,0,No,No,No,No,No,No,No,Si,Si
124,Buenos Aires,General Pueyrredon,Estacion Chapadmalal,1633,Si,No,No,Si,No,Si,No,Si,Si
125,Buenos Aires,General Pueyrredon,Mar Del Plata,560913,Si,Si,Si,Si,Si,Si,Si,Si,Si
126,Buenos Aires,General Pueyrredon,Punta Mogotes,0,No,No,No,No,No,No,No,Si,Si
127,San Luis,Libertador Grl. San Martin,Planta De Sandia,0,No,No,No,No,No,No,No,No,No
128,Buenos Aires,Olavarria,Villa Alfredo Fortabat,3451,Si,No,No,No,No,Si,Si,Si,Si
129,Buenos Aires,Olavarria,Villa Arrieta,0,No,No,No,No,No,No,No,Si,Si
130,Buenos Aires,Olavarria,Villa La Serrania,167,No,No,No,No,No,No,No,No,Si
131,Buenos Aires,Patagones,Bahia San Blas,611,No,No,Si,No,No,Si,Si,Si,Si
132,Buenos Aires,Patagones,Cardenal Cagliero,89,No,No,No,No,No,No,No,No,Si
133,Buenos Aires,Patagones,Carmen De Patagones,20533,Si,No,Si,Si,Si,Si,Si,Si,Si
134,Buenos Aires,Patagones,Jose B. Casas,40,No,No,No,No,No,Si,No,No,No
135,Buenos Aires,Patagones,Juan A. Pradere,521,No,Si,No,No,No,Si,No,No,Si
136,Buenos Aires,Patagones,Stroeder,1998,No,No,No,Si,No,Si,Si,Si,Si
137,Buenos Aires,Patagones,Villalonga,4517,Si,No,Si,Si,No,Si,Si,Si,Si
138,Buenos Aires,Pehuajo,Capitan Castro,49,No,No,No,No,No,Si,No,No,No
139,Buenos Aires,Pehuajo,Chiclana,0,No,No,No,No,No,Si,No,Si,Si
140,Buenos Aires,Pehuajo,Francisco Madero,1389,No,No,Si,No,No,Si,Si,Si,Si
141,Buenos Aires,Pehuajo,Inocencio Sosa,31,No,No,No,No,No,Si,No,No,No
142,Buenos Aires,Villarino,Pedro Luro,9494,Si,Si,No,Si,No,Si,Si,Si,Si
143,Buenos Aires,Villarino,Teniente Origone,145,No,No,No,No,No,Si,Si,No,Si
144,Buenos Aires,Zarate,Barrio Saavedra,0,No,No,No,No,No,No,No,Si,Si
145,Buenos Aires,Zarate,Country Club El Casco,452,No,No,No,No,No,No,No,Si,Si
146,Buenos Aires,Zarate,Escalada,213,No,No,No,No,No,No,No,No,No
147,Buenos Aires,Zarate,Lima,10219,Si,Si,No,Si,No,No,Si,Si,Si
148,Buenos Aires,Zarate,Zarate,98522,Si,Si,No,Si,Si,No,Si,Si,Si
149,Cordoba,Santa Maria,Alta Gracia,48140,Si,Si,No,Si,No,Si,Si,Si,Si
150,Cordoba,Santa Maria,Anisacate,2991,Si,No,No,Si,No,Si,Si,No,No
151,Cordoba,Santa Maria,Barrio Gilbert,1277,No,No,No,No,No,No,No,No,No
152,Cordoba,Santa Maria,Barrio Las Quintas,0,No,No,No,No,No,No,No,Si,No
153,Cordoba,Santa Maria,Barrio Villa Del Parque,0,No,No,No,No,No,No,No,No,No
154,Cordoba,Santa Maria,Bouwer,841,No,No,No,No,No,No,Si,Si,Si
155,Cordoba,Santa Maria,Campos Del Virrey,188,No,No,No,No,No,No,No,No,No
156,Cordoba,Santa Maria,Caseros Centro,243,No,No,No,No,No,No,No,No,Si
157,Caba,Comuna 01,Monserrat,39914,Si,Si,Si,Si,Si,Si,Si,Si,Si
158,Formosa,Patiño,Las Lomitas,12399,Si,No,No,Si,Si,Si,Si,Si,Si
159,Formosa,Patiño,Posta Cambio Zalazar,603,No,No,No,No,No,Si,No,No,Si
160,Formosa,Patiño,Pozo Del Tigre,4517,Si,No,No,No,No,Si,Si,Si,Si
161,Formosa,Patiño,San Martin I,66,No,No,No,No,No,No,No,No,No
162,Formosa,Patiño,San Martin Ii,3119,No,No,No,Si,No,Si,Si,No,Si
163,Formosa,Patiño,Subteniente Perin,1163,No,No,No,No,Si,Si,No,No,Si
164,Formosa,Patiño,Villa General Güemes,3907,No,No,No,Si,No,Si,Si,No,Si
165,Caba,Comuna 10,Floresta,37575,Si,Si,Si,Si,Si,Si,Si,Si,Si
166,Cordoba,Santa Maria,Causana,55,No,No,No,No,No,No,No,No,No
167,Cordoba,Santa Maria,Costa Azul,201,No,No,No,No,No,No,No,Si,Si
168,Cordoba,Santa Maria,Despeñaderos,5758,Si,No,No,Si,No,Si,Si,Si,Si
169,Cordoba,Santa Maria,Dique Chico,167,No,No,No,No,No,No,No,No,No
170,Cordoba,Santa Maria,El Potrerillo,85,No,No,No,No,No,No,No,Si,Si
171,Cordoba,Santa Maria,Falda Del Cañete,29,No,No,No,No,No,No,No,Si,Si
172,Cordoba,Santa Maria,Falda Del Carmen,170,No,No,No,No,No,No,Si,No,Si
173,Cordoba,Santa Maria,Jose De La Quintana,419,No,No,No,No,No,No,No,No,Si
174,Cordoba,Santa Maria,La Boca Del Rio,80,No,No,No,No,No,No,Si,No,No
175,Cordoba,Santa Maria,La Carbonada,207,No,No,No,No,No,No,No,No,Si
176,Caba,Comuna 15,Paternal,19717,Si,Si,Si,Si,Si,Si,Si,Si,Si
177,Cordoba,Santa Maria,La Cumbrecita,0,No,No,No,No,No,Si,Si,No,No
178,Cordoba,Santa Maria,La Donosa,0,No,No,No,No,No,Si,No,No,No
179,Cordoba,Santa Maria,La Paisanita,60,Si,No,No,No,No,Si,Si,No,Si
180,Cordoba,Santa Maria,La Perla,895,No,No,No,No,No,No,No,Si,Si
181,Cordoba,Santa Maria,La Rancherita,129,No,No,No,No,No,Si,No,No,No
182,Cordoba,Santa Maria,La Serranita,430,No,No,No,No,No,Si,Si,Si,Si
183,Cordoba,Santa Maria,Los Cedros - Las Quintas,1069,No,No,No,No,No,No,Si,Si,Si
184,Cordoba,Santa Maria,Lozada,1013,No,No,No,No,No,Si,Si,Si,Si
185,Buenos Aires,Adolfo Alsina,Rivera,3217,No,No,Si,Si,No,No,Si,No,Si
186,Buenos Aires,Adolfo Alsina,Thames,0,No,No,No,No,No,No,No,No,No
187,Buenos Aires,Adolfo Alsina,Villa Margarita,0,No,No,No,No,No,No,No,No,No
188,Buenos Aires,Adolfo Alsina,Yutuyaco,16,No,No,No,No,No,No,No,No,No
189,Buenos Aires,Adolfo Gonzales Chaves,Adolfo Gonzales Chaves (Est. Chaves),9066,Si,No,Si,Si,No,Si,Si,Si,Si
190,Buenos Aires,Adolfo Gonzales Chaves,De La Garma,1625,Si,No,No,Si,No,Si,Si,Si,Si
191,Buenos Aires,Adolfo Gonzales Chaves,Juan E. Barra,212,No,No,No,No,No,Si,Si,No,No
192,Buenos Aires,Adolfo Gonzales Chaves,Vasquez,43,No,No,No,No,No,Si,Si,Si,Si
193,Buenos Aires,Alberti,Alberti (Est. Andres Vaccarezza),8260,Si,No,Si,Si,No,No,Si,Si,Si
194,Buenos Aires,Alberti,Coronel Segui,146,No,No,No,No,No,No,No,No,No
195,Buenos Aires,Alberti,Mechita,412,Si,No,No,No,No,No,No,Si,Si
196,Buenos Aires,Alberti,Pla,192,No,No,No,No,No,No,Si,No,No
197,Buenos Aires,Alberti,Villa Grisolia (Est. Achupallas),112,No,No,No,No,No,No,No,Si,Si
198,Buenos Aires,Alberti,Villa Maria,24,No,No,No,No,No,No,No,No,No
199,Buenos Aires,Alberti,Villa Ortiz (Est. Coronel Mom),815,No,No,No,No,No,No,Si,Si,Si
200,Buenos Aires,General Paz,Barrio Rio Salado,265,No,No,No,No,No,No,No,No,No
201,Buenos Aires,General Paz,Loma Verde,657,No,No,No,No,No,Si,Si,Si,Si
202,Buenos Aires,General Pueyrredon,Sierra De Los Padres,4249,Si,No,Si,Si,No,Si,Si,Si,Si
203,Buenos Aires,General Rodriguez,Barrio Ruta 24 Kilometro 10,0,No,No,No,Si,No,No,No,Si,Si
204,Buenos Aires,General Rodriguez,Country Club Bosque Real - Barrio Morabo,0,No,No,No,No,No,No,No,Si,Si
205,Buenos Aires,General Rodriguez,General Rodriguez,85315,Si,Si,Si,Si,Si,Si,Si,Si,Si
206,Buenos Aires,General San Martin,Barrio Parque General San Martin,421,No,No,No,Si,No,Si,Si,No,Si
207,Buenos Aires,General San Martin,Billinghurst,19664,Si,Si,No,Si,No,No,Si,Si,Si
208,Buenos Aires,General San Martin,Ciudad Del Libertador General San Martin,29180,Si,Si,No,Si,Si,Si,Si,Si,Si
209,Buenos Aires,General San Martin,Ciudad Jardin El Libertador,63479,No,No,No,No,No,No,No,Si,Si
210,Buenos Aires,General San Martin,Va Ma Irene De Los Remedios De Escalada,1265,No,Si,No,No,No,No,No,Si,Si
211,Buenos Aires,General San Martin,Villa Ayacucho,3939,No,Si,No,Si,No,No,No,Si,Si
212,Buenos Aires,Pehuajo,Juan Jose Paso,2176,No,No,No,Si,No,Si,Si,Si,Si
213,Buenos Aires,Pehuajo,Magdala,195,No,No,No,No,No,Si,Si,No,No
214,Buenos Aires,Pehuajo,Mones Cazon,1764,No,No,Si,No,No,Si,Si,Si,Si
215,Buenos Aires,Pehuajo,Nueva Plata,206,No,No,No,No,No,Si,Si,No,No
216,Buenos Aires,Pehuajo,Pehuajo,31533,Si,No,Si,Si,No,Si,Si,Si,Si
217,Buenos Aires,Pehuajo,San Bernardo (Est. Guanaco),282,No,No,No,No,No,Si,Si,No,No
218,Buenos Aires,Pehuajo,San Esteban,92,No,No,No,No,No,Si,No,No,No
219,Buenos Aires,Pellegrini,Bocayuva,83,No,No,No,No,No,No,No,No,Si
220,Buenos Aires,Pellegrini,De Bary,63,No,No,No,No,No,No,No,No,No
221,Buenos Aires,Pellegrini,Pellegrini,5115,Si,Si,Si,Si,Si,Si,Si,Si,Si
222,Buenos Aires,Pergamino,Acevedo,1499,Si,Si,No,No,No,Si,Si,Si,Si
223,Buenos Aires,Pergamino,Fontezuela,365,Si,No,No,Si,No,Si,Si,No,No
224,Buenos Aires,Pergamino,Guerrico,774,No,Si,No,No,No,Si,No,Si,Si
225,Buenos Aires,Pergamino,Juan A. De La Peña,211,No,No,No,No,No,Si,No,No,No
226,Buenos Aires,Pergamino,Juan Anchorena (Est. Urquiza),976,Si,No,No,Si,No,Si,Si,Si,Si
227,Caba,Comuna 01,Puerto Madero,6726,Si,Si,Si,Si,Si,Si,Si,Si,Si
